Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
11 7 -5.055634 0.0 -28.0614 5.60501 -18.4631 340.647 -2208.21 339.065 -2189.6 0.0 339.065 -2189.6 42.1948 -28.0614 -1836.4019 -2.72565 -2.72565
11 8 -5.055634 0.0 -28.0614 5.60501 -18.4631 340.647 -2208.21 339.065 -2189.6 0.0 339.065 -2189.6 42.1948 -28.0614 -1836.4019 -2.72565 -2.72565
12 0 -5.6820993 0.0 -31.8728 5.53527 -17.8626 340.647 -2208.21 338.973 -2193.31 0.0 338.973 -2193.31 45.0936 -31.8728 -1841.1163 -2.96234 -2.96234
12 1 -5.6820993 0.0 -31.8728 5.53527 -17.8626 340.647 -2208.21 338.973 -2193.31 0.0 338.973 -2193.31 45.0936 -31.8728 -1841.1163 -2.96234 -2.96234
12 2 -5.6820993 0.0 -31.8728 5.53527 -17.8626 340.647 -2208.21 338.973 -2193.31 0.0 338.973 -2193.31 45.0936 -31.8728 -1841.1163 -2.96234 -2.96234
12 3 -5.6820993 0.0 -31.8728 5.53527 -17.8626 340.647 -2208.21 338.973 -2193.31 0.0 338.973 -2193.31 45.0936 -31.8728 -1841.1163 -2.96234 -2.96234
12 4 -5.278083 0.0 -27.2022 5.53389 -17.1212 340.647 -2208.21 339.032 -2193.28 0.0 339.032 -2193.28 44.2284 -27.2022 -1837.2219 -0.239984 -0.239984
12 5 -5.278083 0.0 -27.2022 5.53389 -17.1212 340.647 -2208.21 339.032 -2193.28 0.0 339.032 -2193.28 44.2284 -27.2022 -1837.2219 -0.239984 -0.239984
12 6 -5.265931 0.0 -27.1011 5.53425 -17.0909 340.647 -2208.21 339.034 -2193.21 0.0 339.034 -2193.21 44.2484 -27.1011 -1837.0288 -0.203774 -0.203774
12 7 -5.265931 0.0 -27.1011 5.53425 -17.0909 340.647 -2208.21 339.034 -2193.21 0.0 339.034 -2193.21 44.2484 -27.1011 -1837.0288 -0.203774 -0.203774
12 8 -5.443123 0.0 -30.7092 5.52106 -19.494 340.647 -2208.21 339.033 -2192.95 0.0 339.033 -2192.95 48.7762 -30.7092 -1835.8501 0.277502 0.277502
12 9 -5.443123 0.0 -30.7092 5.52106 -19.494 340.647 -2208.21 339.033 -2192.95 0.0 339.033 -2192.95 48.7762 -30.7092 -1835.8501 0.277502 0.277502
12 10 -5.443123 0.0 -30.7092 5.52106 -19.494 340.647 -2208.21 339.033 -2192.95 0.0 339.033 -2192.95 48.7762 -30.7092 -1835.8501 0.277502 0.277502
12 11 -5.443123 0.0 -30.7092 5.52106 -19.494 340.647 -2208.21 339.033 -2192.95 0.0 339.033 -2192.95 48.7762 -30.7092 -1835.8501 0.277502 0.277502
12 12 -5.4564476 0.0 -31.0627 5.50136 -19.4528 340.647 -2208.21 339.052 -2192.64 0.0 339.052 -2192.64 48.9291 -31.0627 -1835.7214 0.217223 0.217223
12 13 -5.4564476 0.0 -31.0627 5.50136 -19.4528 340.647 -2208.21 339.052 -2192.64 0.0 339.052 -2192.64 48.9291 -31.0627 -1835.7214 0.217223 0.217223
12 14 -5.4408517 0.0 -30.9544 5.50197 -19.4467 340.647 -2208.21 339.055 -2192.55 0.0 339.055 -2192.55 48.8657 -30.9544 -1835.5837 0.213069 0.213069
12 15 -5.4408517 0.0 -30.9544 5.50197 -19.4467 340.647 -2208.21 339.055 -2192.55 0.0 339.055 -2192.55 48.8657 -30.9544 -1835.5837 0.213069 0.213069
13 0 -5.0843506 0.0 -25.7569 5.44574 -16.892 340.647 -2208.21 338.912 -2192.07 0.0 338.912 -2192.07 38.0907 -25.7569 -1840.8243 -4.79099 -4.79099
13 1 -5.0644584 0.0 -26.4321 5.54882 -17.6205 340.647 -2208.21 338.957 -2191.34 0.0 338.957 -2191.34 42.1933 -26.4321 -1836.6218 -1.17583 -1.17583
13 2 -4.9062696 0.0 -27.209 5.59072 -18.4489 340.647 -2208.21 338.997 -2188.38 0.0 338.997 -2188.38 43.6892 -27.209 -1832.9026 0.572696 0.572696
13 3 -5.2540436 0.0 -28.8798 5.56851 -18.0794 340.647 -2208.21 338.884 -2190.97 0.0 338.884 -2190.97 51.133 -28.8798 -1829.8328 5.65156 5.65156
14 0 -5.2303047 0.0 -26.0859 5.32936 -16.3308 340.647 -2208.21 339.064 -2193.8 0.0 339.064 -2193.8 40.2865 -26.0859 -1840.5354 -1.70448 -1.70448
14 1 -5.235006 0.0 -27.1047 5.5211 -16.1643 340.647 -2208.21 339.084 -2191.87 0.0 339.084 -2191.87 39.6117 -27.1047 -1840.279 -3.31873 -3.31873
14 2 -4.952706 0.0 -24.4286 5.31584 -15.917 340.647 -2208.21 339.062 -2191.43 0.0 339.062 -2191.43 38.1417 -24.4286 -1838.6548 -3.01315 -3.01315
14 3 -5.155549 0.0 -26.4292 5.46308 -18.6571 340.647 -2208.21 339.085 -2194.2 0.0 339.085 -2194.2 44.308 -26.4292 -1837.2361 -2.95323 -2.95323
14 4 -4.847417 0.0 -24.5048 5.49369 -17.6966 340.647 -2208.21 339.032 -2191.05 0.0 339.032 -2191.05 40.1708 -24.5048 -1836.352 -4.15186 -4.15186
14 5 -4.951702 0.0 -26.4501 5.43033 -18.3747 340.647 -2208.21 339.114 -2190.65 0.0 339.114 -2190.65 41.8644 -26.4501 -1836.1216 -2.5724 -2.5724
14 6 -4.983543 0.0 -25.4472 5.43821 -16.091 340.647 -2208.21 339.027 -2190.29 0.0 339.027 -2190.29 41.522 -25.4472 -1835.1884 -1.21765 -1.21765
15 0 -4.9080195 0.0 -23.1092 5.37731 -14.924 340.647 -2208.21 338.699 -2191.09 0.0 338.699 -2191.09 35.1387 -23.1092 -1840.3616 -2.81472 -2.81472
15 1 -4.6957936 0.0 -23.3733 5.4909 -16.3297 340.647 -2208.21 338.761 -2188.54 0.0 338.761 -2188.54 38.3375 -23.3733 -1834.815 1.0905 1.0905
15 2 -5.2791014 0.0 -29.77 5.57881 -19.28 340.647 -2208.21 338.717 -2190.93 0.0 338.717 -2190.93 47.9532 -29.77 -1834.0298 1.60372 1.60372
15 3 -4.8318496 0.0 -24.7148 5.54552 -17.1754 340.647 -2208.21 338.741 -2189.42 0.0 338.741 -2189.42 42.4843 -24.7148 -1832.9094 3.56122 3.56122
15 4 -5.116316 0.0 -26.4098 5.63809 -17.5655 340.647 -2208.21 338.796 -2191.78 0.0 338.796 -2191.78 46.5111 -26.4098 -1832.8827 3.90488 3.90488
15 5 -4.896487 0.0 -26.2707 5.49624 -17.0858 340.647 -2208.21 338.762 -2188.09 0.0 338.762 -2188.09 43.2239 -26.2707 -1832.375 2.1495 2.1495
15 6 -4.914966 0.0 -26.7597 5.48991 -19.8626 340.647 -2208.21 338.715 -2190.35 0.0 338.715 -2190.35 46.4657 -26.7597 -1831.9291 3.87413 3.87413
16 0 -5.0828567 0.0 -28.0038 5.2838 -18.1074 340.647 -2208.21 338.732 -2189.76 0.0 338.732 -2189.76 38.7726 -28.0038 -1840.2593 -5.52832 -5.52832
16 1 -5.0828567 0.0 -28.0038 5.2838 -18.1074 340.647 -2208.21 338.732 -2189.76 0.0 338.732 -2189.76 38.7726 -28.0038 -1840.2593 -5.52832 -5.52832
16 2 -5.0828567 0.0 -28.0038 5.2838 -18.1074 340.647 -2208.21 338.732 -2189.76 0.0 338.732 -2189.76 38.7726 -28.0038 -1840.2593 -5.52832 -5.52832
16 3 -5.0828567 0.0 -28.0038 5.2838 -18.1074 340.647 -2208.21 338.732 -2189.76 0.0 338.732 -2189.76 38.7726 -28.0038 -1840.2593 -5.52832 -5.52832
16 4 -5.0832453 0.0 -28.0695 5.28826 -18.151 340.647 -2208.21 338.731 -2189.7 0.0 338.731 -2189.7 38.8829 -28.0695 -1840.1555 -5.47739 -5.47739
16 5 -5.0832453 0.0 -28.0695 5.28826 -18.151 340.647 -2208.21 338.731 -2189.7 0.0 338.731 -2189.7 38.8829 -28.0695 -1840.1555 -5.47739 -5.47739
16 6 -5.064067 0.0 -27.6759 5.29128 -18.0107 340.647 -2208.21 338.744 -2189.87 0.0 338.744 -2189.87 38.7927 -27.6759 -1840.0094 -5.40057 -5.40057
16 7 -5.064067 0.0 -27.6759 5.29128 -18.0107 340.647 -2208.21 338.744 -2189.87 0.0 338.744 -2189.87 38.7927 -27.6759 -1840.0094 -5.40057 -5.40057
17 0 -4.9499364 0.0 -22.5474 5.44341 -16.6071 340.647 -2208.21 338.748 -2194.3 0.0 338.748 -2194.3 38.2038 -22.5474 -1839.8955 -3.31718 -3.31718
17 1 -4.9499364 0.0 -22.5474 5.44341 -16.6071 340.647 -2208.21 338.748 -2194.3 0.0 338.748 -2194.3 38.2038 -22.5474 -1839.8955 -3.31718 -3.31718
17 2 -4.939209 0.0 -22.4851 5.44742 -16.6607 340.647 -2208.21 338.749 -2194.27 0.0 338.749 -2194.27 38.2277 -22.4851 -1839.7783 -3.37848 -3.37848
17 3 -4.939209 0.0 -22.4851 5.44742 -16.6607 340.647 -2208.21 338.749 -2194.27 0.0 338.749 -2194.27 38.2277 -22.4851 -1839.7783 -3.37848 -3.37848
17 4 -4.939209 0.0 -22.4851 5.44742 -16.6607 340.647 -2208.21 338.749 -2194.27 0.0 338.749 -2194.27 38.2277 -22.4851 -1839.7783 -3.37848 -3.37848
